number,song,artist,has_lorraine_loretta
136,"Demonic Possesion","Drive-By Truckers",0
137,"If I Could Only Fly","Blaze Foley",0
138,"I Won't Be Hangin' Round","Linda Ronstadt",0
139,"Caledonia","The Gourds",0
140,"Gimme Back My Dog","Slobberbone",0
141,"Codeine","Jason Isbell",0
142,"The Promise","Sturgill Simpson",0
143,"Loretta","Luke Bell",1
144,"To Beat the Devil","Kris Kristofferson",0
145,"Long Long Time to Get Old","Ian & Sylvia/Great Speckled Bird",0
146,"Palms of Victory","Emmylou Harris, Dolly Parton, and Linda Ronstadt",0
147,"One Way Train","Mark Jones",0
148,"Black Diamond Bay","Bob Dylan",0
149,"Wichita","Gillian Welch",0
150,"Indianapolis",""The Bottle Rockets" Year: 1997",0
151,"Revenge","Whiskeytown Year: 1995",0
152,"Feelin' Good Again","Robert Earl Keen Year: 1998",0
153,"Blue RIdge Mountain Skyline","Sammy Walker Year: 1977",0
154,"Ventura","Lucinda Williams Year: 2003",0
155,"Far From Me","John Prine*** Year: 1971",0
156,"Full Circle Song","Gene Clark Year: 1973",0
157,"If I Needed You","Townes Van Zandt",0
158,"Perfect Timing","Drive-By Truckers",0
159,"Cowpoke","Johnny* Western",0
160,"Our Town","Iris DeMent",0
161,"Ready or Not","Jackson Browne",0
162,"Sugar Cane","Ox",0
163,"$1000 Wedding","Gram Parsons",0
164,"Forget the Flowers","Wilco",0
165,"I've Been the One","Little Feat",0
166,"Oh, Atlanta","Alison Krauss",0
167,"Six White Horses","Waylon Jennings",0
168,"One Promise Too Late","Reba McEntire",0
169,"All Sewn Up","Lucero",0
170,"Early Morning Riser","Pure Prairie League",0
171,"Barrier Reef","Old 97's",0
172,"Across the Great Divide","Kate Wolf",0
173,"Someday","Steve Earle",0
174,"Son of a Rotten Gambler","Emmylou Harris",0
175,"Deep Red Bells","Neko Case",0
176,"Desperados Waiting For A Train","Guy Clark",0
177,"High Water","Uncle Tupelo",0
178,"One More Dollar","Gillian Welch",0
179,"Tattler","Ry Cooder",0
180,"One Time One Night","Los Lobos",0
181,"All Around You","Sturgill Simpson",0
182,"Lioness","Songs: Ohia",0
183,"V","Golden Smog",0
184,"Cowboy Song","Thin Lizzy",0
185,"Don't Wanna Know Why","Whiskeytown",0
186,"Blue Canoe","Blue Mountain",0
187,"One More Run","(David Childers and) The Modern Don Juans",0
188,"No Ordinary Blue","John Prine",0
189,"The Eye","Waxahatchee",0
190,"Wasn't Born to Follow","The Byrds",0
191,"I Had My Hopes Up High","Joe Ely",0
192,"Fox on the Run","Tom T. Hall",0
193,"Columbine","Townes Van Zandt",0
194,"I'm Looking Through You","Steve Earle",0
195,"Formula Cola, Dollar Draft","Marah",0
196,"Acadian Driftwood","The Band",0
197,"Down to Zero","Joan Armatrading",0
198,"First Air of Autumn","Drive-By Truckers",0
199,"Pill Bug Blues","The Gourds",0
200,"Fire on the Mountain","The Marshall Tucker Band",0
201,"Song for Adam/Shadow Dream Song","Gregg Allman",0
202,"If It Takes a Lifetime","Jason Isbell",0
203,"Got Me A Woman","Levon Helm",0
204,"Leaving Louisiana in the Broad Daylight","Emmylou Harris",0
205,"Don't This Look Like The Dark","Magnolia Electric Co.",0
206,"Sweet Baby James","James Taylor",0
207,"A Song for You","Gram Parsons",0
208,"Pretty Horses","Dwight Yoakam",0
209,"In My Reply","Linda Ronstadt",0
210,"Oh Sarah","Sturgill Simpson",0
211,"Breakfast","Darrin Bradbury",0
212,"Everybody's Missing The Sun","The Gourds",0
213,"Fallin' Faster","The Galoots",0
214,"Over the Red Cedar","Charlie Parr",0
215,"Windfall","Son Volt",0
216,"Frightened by the Sound","Justin Townes Earle",0
217,"Love's Gonna Blow My Way","Steve Earle",0
218,"Come Tomorrow","Townes Van Zandt",0
219,"16 Days","Whiskeytown",0
220,"Colorado","The Flying Burrito Brothers",0
221,"Fire","Waxahatchee",0
222,"A Matter of Time","Los Lobos",0
223,"Lazy Guy","Slobberbone",0
224,"The Boxer","Emmylou Harris",0
225,"Ol' Sundown","Frank Adams",0
226,"The Front Porch Song","Robert Earl Keen",0
227,"Revelator","Gillian Welch",0
228,"Decoration Day","Drive-By Truckers",0
229,"Snowin' On Raton","Townes Van Zandt",1
230,"Christmas in Prison","John Prine",0
231,"You Ain't Goin' Nowhere","The Byrds",0
232,"A Few Simple Words","Cowboy Junkies",0
233,"Rollerskate Skinny","Old 97's",0
234,"Cryin' but My Tears Are Far Away","The Knitters",0
235,"Star Witness","Neko Case",0
236,"24 Frames","Jason Isbell",0
237,"The Prettiest Thing","The Modern Don Juans (and David Childers)",0
238,"LA City","Ox",0
239,"What of Alicia","Terry Allen",0
240,"Don't Let Me Come Home A Stranger","Tim and Mollie O'Brien",0
241,"I Lost It","Lucinda Williams",0
242,"Easy Come Easy Go","Hayes Carll",0
243,"Born to Run","Emmylou Harris",0
244,"Acuff Rose","Uncle Tupelo",0
245,"Down the Road","Steve Earle",0
246,"Late for Church","Drive-By Truckers",0
247,"Tequila and Me","Kate Wolf",0
248,"Dublin Blues","Guy Clark",0
249,"Fare Thee Well, Miss Carousel","Townes Van Zandt",0
250,"Easy's Gettin' Harder Every Day","Iris DeMent",0
251,"To Live Is To Fly","Cowboy Junkies",0
252,"O! Grace","Magnolia Electric Co.",0
253,"Live Forever","Shaver",0
254,"Please Be With Me","Cowboy",0
255,"Trucker Speed","Fred Eaglesmith",0
256,"Sharing a Gibson with Martin Luther King Jr.","Lambchop",0
257,"Since She Started to Ride","Jonathan Richman",0
258,"Detroit or Buffalo","Barbara Keith",0
259,"The Road","Danny O'Keefe",0
260,"A Good Time","John Prine",0
261,"Won't Be Coming Home","Golden Smog",0
262,"Six Blocks Away","Lucinda Williams",0
263,"Even Cowgirls Get the Blues","Emmylou Harris",0
264,"Rogers Park","Justin Townes Earle",0
265,"My Proud Mountains","Townes Van Zandt",0
266,"Rodeo","Futurebirds",0
267,"Catcher In the Rye","Sammy Walker",0
268,"Where Ya Been?","Luke Bell",0
269,"Jenny Brown","The Gourds",0
270,"Red Sun","Neil Young",0
271,"That's How I Got To Memphis","Tom T. Hall",0
272,"Honey I Been Thinking About You","Jackie Greene",0
273,"Pick Your Nose","Cowboy",0
274,"Raising Hell","Lucero",0
275,"Love Like This","Drive-By Truckers",0
276,"Lover's Lullaby","Townes Van Zandt",0
277,"Long Long Time","Linda Ronstadt",0
278,"Love Will Turn You Around","Kenny Rogers",0
279,"Love Hurts","Gram Parsons (and Emmylou Harris)",0
280,"Anyhow, I Love You","Guy Clark",0
281,"In Spite of Ourselves","John Prine/Iris DeMent",0
282,"L.A. County","Lyle Lovett",0
283,"Won't Be Home","Old 97's",0
284,"Wait Up","Uncle Tupelo",0
285,"Manhattan Bluebird","Terry Allen",0
286,"The Weekend","Dave Rawlings Machine",0
287,"Silver Wings","The Knitters",0
288,"Friends Like Those","Robert Ellis",0
