Number,Track Name,Main Artist,Description,Related Artists
276,Lover's Lullaby,"Townes Van Zandt Year: 1994 _______________________________ Thoughts: I'll acknowledge that this recording of ""Lover's Lullaby"" might not appeal to the acousti-purists out there. It took time to grow on me, so give it a few chances. If you can't get over the heightened production, though, you have options. There's the spare rendition on *The Highway Kind *(the first posthumous album), and this jaw-dropping/heart-breaking live video . Everyone should watch the video. If you're busy, watch it instead of clicking the list pick. My main gripe with ""LL"" on *No Deeper Blue *is that it sounds artificially strong, like a de-aged Harrison Ford. The reverb and layers mask the cracks in Van Zandt's voice â it's believable, but only if you don't know better. The real thing comes through a few times (like the first '*there*' at 0:40), which gives the song its life. In the video, ""life"" is clearer. More cracks, more swallows. The weakening strengthens it. Van Zandt starts by saying ""I've written a few love songs, and this might be the prettiest,"" which is hard to disagree with. So by the end, when he wipes his eye, you might do the same. Is this our only lullaby? Probably, unless you count ""WTWGIS"" (#69) or ""AMOT"" (#222). With any luck it'll work, and you'll rest with kind wishes: *Sleep babe, till the moon slips away* *I'm hopin' all you're dreamin' comes trueWhen you rise with the dayI might not have too much to sayBut you know that doesn't mean that I don't love youOh, you know that doesn't mean that I don't love you* Again, the video's more convincing, especially with the last bit. Catch the choke at 2:30, which drives it home â the things you mean aren't easy. âMatt Archive Playlist Content-Type: text/html; charset=""UTF-8"" Content-Transfer-Encoding: quoted-printable Continuing the plan for the week. This is late career Van Zandt. ____________________________ _ Song #276: ""Lover's Lullaby"" Who Made it: Townes Van Zandt Year: 1994 _______________________________ Thoughts: I'll acknowledge that this recording of ""Lover's Lullaby"" might not appeal to the acousti-purists out there. It took time to grow on me, so give it a few chances. If you can't get over the heightened production, though, you have options. There's the spare rendition on The Highway Kind (the first posthumous album), and this jaw-dropping/heart-breaking live video . Everyone should watch the video. If you're busy, watch it instead of clicking the list pick. My main gripe with ""LL"" on No Deeper Blue is that it sounds artificially strong, like a de-aged Harrison Ford. The reverb and layers mask the cracks in Van Zandt's voice â it's believable, but only if you don't know better . The real thing comes through a few times (like the first ' there ' at 0:40), which gives the song its life. In the video, ""life"" is clearer. More cracks, more swallows. The weakening strengthens it. Van Zandt starts by saying ""I've written a few love songs, and this might be the prettiest,"" which is hard to disagree with. So by the end, when he wipes his eye, you might do the same. Is this our only lullaby? Probably, unless you count ""WTWGIS&quot; (#69) or ""AMOT"" (#222). With any luck it'll work, and you'll rest with kind wishes: Sleep babe, till the moon slips away I'm hopin' all you're dreamin' comes true When you rise with the day I might not have too much to say But you know that doesn't mean that I don't love you Oh, you know that doesn't mean that I don't love you Again, the video's more convincing, especially with the last bit. Catch the choke at 2:30, which drives it homeÂ â the things you mean aren't easy. âMatt Archive Playlist --",,
272,Honey I Been Thinking About You,"Jackie Greene Year: 2005 _______________________________ Thoughts: Jack G. (contributor/subscriber, not today's musician) tipped me off about the backstory of ""Honey"". Hear Jackie G. (today's musician, not contributor/subscriber) relay it in this live performance . âMatt Archive Playlist Content-Type: text/html; charset=""UTF-8"" Content-Transfer-Encoding: quoted-printable Just got back from Lenderman. Maybe some thoughts tomorrow. Maybe an insider scoop on a potentially tour disrupting food poisoning incident. ____________________________ _ Song #272: &quot;Honey I Been Thinking About You"" Who Made it: Jackie Greene Year: 2005 _______________________________ Thoughts: Jack G. (contributor/subscriber, not today's musician) tipped me off about the backstory of ""Honey"". Hear Jackie G. (today's musician, not contributor/subscriber) relay it in this live performance . âMatt Archive Playlist --",,
