Number,Track Name,Album,Main Artist,Related Artists,Spotify Link,Album Wikipedia,Related Artists - Album,Artist Wikipedia,Related Artists - Other
18,Anniversary Song,Pale Sun Crescent Moon,Cowboy Junkies,[],https://open.spotify.com/track/2PDbeqarlwOMSrAwLMCbtQ,https://en.wikipedia.org/?curid=1215827,Margo Timmins; Michael Timmins; Alan Anton; Peter Timmins; Jeff Bird; Ken Myhr; Richard Bell; Bob Ludwig; Robert Cobban; Colin Caddies; Open Circle Design; David Houghton,https://en.wikipedia.org/?curid=657210,Alan Anton; Margo Timmins; Michael Timmins; Peter Timmins; Cowboy Junkies; Jeff Bird
19,Story of You,"""After Awhile""",Jimmie Dale Gilmore,[],https://open.spotify.com/track/6tdqnZzrfFgOShvy2HQhrd,https://en.wikipedia.org/?curid=70007257,Jimmie Dale Gilmore; Stephen Bruton; Wes Starr; Keith Carper; James Pennebaker; Ponty Bone; Richard Bowden; Bill Ginn; Paul Glasse; Butch Hancock; Tish Hinojosa; Teddy Roddy; Jesse Taylor; Steve Williams,https://en.wikipedia.org/?curid=172974,Butch Hancock
20,Gimme a Ride to Heaven Boy,Bloodlines,Terry Allen,[],https://open.spotify.com/track/550xyyH5ciaFq2VBXUzMwr,https://en.wikipedia.org/?curid=11545892,,https://en.wikipedia.org/?curid=1718517,Terry Allen
21,Leave the City,What Comes After The Blues,Magnolia Electric Co.,[],https://open.spotify.com/track/7IociFkFQ0fJDxuUtNED9I,https://en.wikipedia.org/?curid=4279168,Jason Molina; Jennie Benford; Mike Brenner; Jim Grabowski; Jason Groth; Michael Kapinus; Dan MacAdam; Mark Rice; Pete Schreiner,https://en.wikipedia.org/?curid=1764579,Jason Molina; Jennie Benford; Mike Brenner; Jim Grabowski; Dan Macadam
22,Dancing With the Women at the Bar,Strangers Almanac,Whiskeytown,[],https://open.spotify.com/track/6otMdQUdrKjxV5PtVTd4vq,https://en.wikipedia.org/?curid=1486012,Ryan Adams; Phil Wandscher; Caitlin Cary; Steven Terry; Jeff Rice; Alejandro Escovedo; John Ginty; Greg Leisz; Curt Bisquera; Bill Ladd; Rick Latina; Dan Navarro; Crecencio Gonzalez; Jim Goodwin; Jim Scott,https://en.wikipedia.org/?curid=1080769,Caitlin Cary; Ryan Adams; Phil Wandscher; Jeff Rice; Steven Terry; Bill Ladd
23,Placemat Blues,Everything You Thought Was Right Was Wrong Today,Slobberbone,[],https://open.spotify.com/track/5bTTiig9keEJ2qT9M0j6D3,https://en.wikipedia.org/?curid=1507573,,https://en.wikipedia.org/?curid=1507573,
24,Sleeping on Hold,Feels Like the Third Time,Freakwater,[],https://open.spotify.com/track/1FQFDuoVL1ameABbmF4Y8X,https://en.wikipedia.org/?curid=2468456,,https://en.wikipedia.org/?curid=2468456,
25,Under Control,Boat Songs,MJ Lenderman,[],https://open.spotify.com/track/5WTUgcDpabIrKeDOA0cFs2,https://en.wikipedia.org/?curid=72447663,Xandy Chelmis; Alex Farrar; Colin Miller; Lewis Dahm; Andrew James; Jon Samuels; MJ Lenderman,https://en.wikipedia.org/?curid=75039072,
26,Song for You,The Outlaws,The Outlaws,[],https://open.spotify.com/track/3RsLZfhZVLDWPjuVAsReur,https://en.wikipedia.org/?curid=67644550,,https://en.wikipedia.org/?curid=494050,The Outlaws
27,Big Time,[Single],Angel Olson and Sturgill Simpson,[],https://open.spotify.com/track/3RZ5VvBcCQgrRl8XaKZLa4,https://en.wikipedia.org/?curid=49946677,,https://en.wikipedia.org/?curid=5599160,Sturgill Simpson
28,She Ain't Goin' Nowhere,Old No. 1,Guy Clark,[],https://open.spotify.com/track/7Hcp4hERmrQvXNx4jtYBst,https://en.wikipedia.org/?curid=3487627,Guy Clark; Mike Leach; Jerry Kroon; Larrie Londin; Chip Young; Pat Carter; Steve Gibson; Jerry Carrigan; Dick Feller; Jim Colvard; Reggie Young; Hal Rugg; Jack Hicks; David Briggs; Chuck Cochran; Shane Keister; Johnny Gimble; Mickey Raphael; Lea Jane Berinati; Rodney Crowell; Emmylou Harris; Gary B. White; Florence Warner; Steve Earle; Sammi Smith,https://en.wikipedia.org/?curid=671637,Emmylou Harris; Rodney Crowell; Steve Earle; Guy Clark
29,The Bullfighter,Luke Bell,Luke Bell,[],https://open.spotify.com/track/5kGaOHoFdnRazFK87JEOcH,https://en.wikipedia.org/?curid=49643499,,https://en.wikipedia.org/?curid=71306070,Luke Bell
30,Ashes by Now,Evangeline,Emmylou Harris,[],https://open.spotify.com/track/7qASJJ54rQwRbpqYmnyb4a,https://en.wikipedia.org/?curid=3722509,Brian Ahern; Hal Blaine; Mike Bowden; David Briggs; Tony Brown; James Burton; Rodney Crowell; Hank DeVito; Jerry Douglas; Steve Fishell; Amos Garrett; Emory Gordy Jr.; Glen Hardin; Emmylou Harris; Waylon Jennings; Don Johnson; Lynn Langham; Albert Lee; Dave Lewis; Larrie Londin; Dolly Parton; Bill Payne; Herb Pedersen; Mickey Raphael; Mac Rebbenack; Frank Reckard; Tony Rice; Linda Ronstadt; Craig Safan; Ricky Skaggs; Barry Tashian; John Ware; Cheryl White; Sharon White; Donivan Cowart; Bradley Hartman; Stuart Taylor,https://en.wikipedia.org/?curid=123572,Brian Ahern; Emmylou Harris; Dolly Parton; Linda Ronstadt; Rodney Crowell; James Burton; Ricky Skaggs; Barry Tashian; Waylon Jennings
31,"The Living Bubba (Live, 2014)",It's Great To Be Alive!,Drive-By Truckers,[],https://open.spotify.com/track/6P7hirtADFSTzOEIfmYBUk,https://en.wikipedia.org/?curid=48827706,Patterson Hood; Mike Cooley; Brad Morgan; Matt Patton; Jay Gonzalez; Alan Williams,https://en.wikipedia.org/?curid=1217798,Patterson Hood; Mike Cooley; Brad Morgan; Jay Gonzalez; Matt Patton
32,Good Time Charlie's Got the Blues,Danny O'Keefe,Danny O'Keefe,[],https://open.spotify.com/track/2AyQXjM2jyjIM3t8YavbME,https://en.wikipedia.org/?curid=6444736,,https://en.wikipedia.org/?curid=6444736,
33,Stolen Car,Dust Bowl Revival,Ox,[],https://open.spotify.com/track/5piGHBDKDPM1wlOmcLh777,https://en.wikipedia.org/?curid=25951516,,https://en.wikipedia.org/?curid=2630435,
34,South of Cincinnati,"Guitars, Cadillacs, Etc., Etc.",Dwight Yoakam,[],https://open.spotify.com/track/1wTJVQpuoLDjuM5CZ7l8h1,https://en.wikipedia.org/?curid=7497334,Dwight Yoakam; Pete Anderson; Jay Dee Maness; Ed Black; David Mansfield; JD Foster; Jeff Donavan; Brantley Kearns; Gene Taylor; Glen Hardin; Herb Pedersen; Maria McKee; Antoinette Laumer Sales,https://en.wikipedia.org/?curid=169976,Pete Anderson; Dwight Yoakam
35,Big Brown Eyes,Too Far To Care,Old 97's,[],https://open.spotify.com/track/4X8EtM3wtFfSLEs4PMm68e,https://en.wikipedia.org/?curid=2795197,Rhett Miller; Murry Hammond; Ken Bethea; Philip Peeples; Jon Rauhouse; Wally Gagel; Exene Cervenka,https://en.wikipedia.org/?curid=426155,Murry Hammond; Rhett Miller; Ken Bethea; Philip Peeples
36,Omaha,Honky Tonk Heroes,Waylon Jennings,[],https://open.spotify.com/track/3yeONAlGlFCEW2bAZHrXTQ,https://en.wikipedia.org/?curid=6994453,Waylon Jennings; Joe Allen; David Briggs; Andy McMahon; Tommy Williams; Don Brooks; Ralph Mooney; Marvin Chantry; Tompall Glaser; Ronny Light; Glen Spreen,https://en.wikipedia.org/?curid=39086,Waylon Jennings; Tompall Glaser
37,Amarillo Highway (for Dave Hickey),Lubbock (on everything),Terry Allen (and the Panhandle Mystery Band),[],https://open.spotify.com/track/3LO6evXvbopPHiVG9AKax7,https://en.wikipedia.org/?curid=1432498,,https://en.wikipedia.org/?curid=1432498,
38,Slice of Life,1001,Dead Hot Workshop,[],https://open.spotify.com/track/2VoSz6IuejA4qX6RWDtBZe,https://en.wikipedia.org/?curid=22641676,,https://en.wikipedia.org/?curid=22633265,
39,Colorado,Manassas,Stephen Stills,[],https://open.spotify.com/track/6VyuVYEJnZmlEQ5GT9LQvT,https://en.wikipedia.org/?curid=4759056,Stephen Stills; Chris Hillman; Al Perkins; Paul Harris; Dallas Taylor; Joe Lala; Sydney George; Bill Wyman; Roger Bush; Byron Berline; Malcolm Cecil; The Albert Brothers; Ira H. Wexler,https://en.wikipedia.org/?curid=173637,Stephen Stills; Chris Hillman; Dallas Taylor
